index,text
10,"Veterans Beware!!! of this practice. . If you're going here for a C&P eval don't expect much from the NP JETT.. Nurse Practitioner.. he asked me 3 questions and walked out the exam room!!  Didn't even address the two aneurysms stroke on the right side and brain coiling, I had four years ago.. I'm already 100 percent service-connected, and he asked me if i had two strokes and an aneurysm??? I told him no you have it backwards. What a MORON Incompetent Unprofessional Rude!!!# this practice is ripping off the Department of Veterans Affairs.. should be ashamed of yourselves disrespectful. They have been reported to Washington DC Dept of VA Affairs for Abuse of Funds, and  Q&T Medical Services out of California who sets up the appointments.. what a bunch of crap.. Land of Incompetent Doctors.  HOME OF THE BRAVE.."
11,"I have a decent amount of anxiety surrounding dental visits, so I avoid them, but I had a pretty bad tooth ache and knew my teeth probably needed some work because I haven't been to a dentist in years. After a recommendation I scheduled an appointment with Dr. Silva. The receptionist was very friendly and scheduled an appointment for the next day. Everything seemed decent, but when I showed up for my appointment things went down hill fast. The office is pretty ancient looking with horribly stained carpets. I stuck around because you can't judge a book by its cover, or so I thought...

After being escorted back to one of the dental chairs the dental assistant took an x-ray of the tooth and then left with no explanation of what was going to happen next. I sat around for a while listening to other patients have their teeth worked on because the room I was in seemed connected by a partial wall to another room. Eventually Dr. Silva came in and looked at my tooth for about a minute, and then asked me what type of pain I was experiencing. At this point he spent very little time talking to me from the doorway, as if he was in a rush to end the appointment, but he still managed to make me extremely anxious and confused. 

He told me my tooth was cracked, but he couldn't see the crack so he really wouldn't know until he started working on it the outcome. He said they could try and salvage it, but then he started listing off ways they could correct the problem if it had to be removed. At this point I was pretty confused and it seemed the dental assistant was too because when he left the room for a second she asked me why I didn't want to salvage the tooth. He seemed rushed and said the receptionist will handle it from there. She then double checked that I didn't want a fake tooth and said she would just schedule me for a root canal.

The whole experience made me anxious and a little confused. Maybe this dentist is great for cleanings or people who have no anxiety surrounding dental visits, but for me one visit was enough to make me spend the day frantically searching for another dentist."
12,"I had a massage appointment booked for 4pm on Monday. I arrived 10 minutes earlier, to find the door closed, a sign that said the clinic was closed on Mondays, and a clock that displayed the time of ""we will be back at 3:15pm"". Basically, all indications that the clinic was closed. 

I waited an extra 10 minutes right in front of the clinic, and also called to see if anyone would answer the phone. Due to all of the signs that indicated the clinic was closed, I shouldn't even have waited. I did not receive a call until 4:15pm, but I was already home. I left an important meeting at work just to make this appointment on time. I have had three major eye operations back-to-back the last few months, so this was an appointment I was relying on. This was my first appointment in a long time, as I was advised by my doctor to not lay face down, so I could not book an earlier appointment. 

I was later informed that the clinic is closed on Mondays, but massage therapists still accept certain appointments. I was berated for leaving the clinic instead of waiting in front of a locked door with a closed sign on it. The owner tried to blame me and said the massage therapist had informed me that the procedures for Mondays are different, and that I was supposed to wait until someone came to get me. However, this is completely false. I was never told any of this information, and this was my first Monday appointment. I have only had two other appointments with this clinic. If I have an appointment at 4:00pm, at any other type of business, I expect my appointment will start at that time without indications of closure.   
 
I am completely shocked at the voicemail I received from the owner today. I cannot believe she told me to book my appointments with another massage therapist. What is the reason for this? Because my massage therapist was too incompetent to inform me of the correct procedures of the clinic, it is I who should get punished? I am completely appalled I was asked to pay for my ""missed"" appointment if I wanted to continue treatments with my current massage therapist. This reflects extreme unprofessionalism and makes me question the ownership of this clinic. Did I ask for lost wages because of leaving work early? Did I ask for my money back because the clinic was not open at 4pm? Who exactly makes the decisions here? How silly of me to expect the owner to take charge and find a solution when a customer has a grievance. A mistake was clearly made by the employees of Innovate Guildford, and I cannot even begin to fathom the unprofessional, inadequate, and amateur experience I have had."
13,"Garbage does not begin to describe the disrespect, and total lack of professional behavior by the nurse, doctors and support staff. I have seen this clinic run through doctors. Had a great one at first, last year, but then he left and since its been a revolving door of mean, petty incompetents who think practicing health care is some kind of god given power that they can wield with impunity. Really, in any other country, this clinic would be out of business. PMHNP Mcnulty was without a doubt the most petty, vindictive judgemental quack i have ever come across and seeing her in action makes me question whatever board allow her to practice medicine. What a mean spirited petty little weasel (i know, i've now added my own pettiness). Making judgements on patients and assuming lifestyle choices based on extremely limited contact and pulling me off my anti-depressants ive been prescribed for 2 years, with no warning, after accusing me of being a drug addict (i tested positive for 'weed' which i've got a medical card)"
14,"I am sexy!  Three words I would have never used to describe myself... until I met Julia.  She has a way of getting the sexy out of you and into that camera!  I was pretty nervous before the shoot.  But as soon as Julia opened that door and gave me a big hug, the nervousness melted away.  She is so excited to get you in front of her lens and work her magic.  Once we started, she kept telling me how beautiful I looked and how much my husband was going to LOVE the photos.  After a few frames, she gave me a peek... DAMN!  I look HOT!  After that, I just went with it.  She told me to lay here, put your hands there, stick out your butt... she definitely knows what she's doing.  Before I knew it, my time was up... but I was having so much fun!!  

I was able to sit with Julia and pick out the photos I wanted in my book.  Then she showed me one of my pics that she did some quick touch ups to, so I could get an idea of what the finished photos would look like.  Wow!!  Originally, I had planned to get a 4X6 Little Black Book.  I bumped it up to a 10X10.  (Eventually, after Julia sent me proofs of the photos we picked, I went for the 12X12 album and added extra photos!)  I figured I should go BIG!

When I picked up the finished book, I was shocked!  The book was incredible!  I was so excited to give it to my husband for Christmas.  When he opened it, all he could say was HOLY SHIT!!!  He couldn't believe I would do something like that for him.  He LOVES it!

The whole experience with Vivian's Muse was amazing.  Julia is a phenomenal photographer!  She is an artist who knows how to make women feel comfortable in their own skin... which translates into such beautiful photos.  I am so glad I decided to do this.  I would do it again in a heartbeat!  But next time, more nudes!!  ;-)"
15,"I have been going to this place for a couple months now, due to knee and lower back injuries that were caused by a car wreck a few months ago. Went to Chiro for 6+ months prior to coming here, and that only helped me with my upper back pain. No-one could heal my knee and lower back, which was having me worry that I have to live with the pain forever.

I was prescribed PT by my ortho. I honestly regret not coming here earlier. I wish I could take back all those (semi-useless) chiro sessions, especially since back then I was in grad school and SUPER busy. 

BenchMark Physical Therapy has been nothing but amazing to me. The staff are all wonderfully nice. I have yet to have an issue with any one of them. They all work as a team to make sure their clients are receiving the best treatment possible. 

The treatments that I have been receiving by my DPT (Ms. Shanoon) include stretches, strengthening exercises, walking, dry needling, and cupping. They have worked wonders, as my knee and back pain are now both gone. Ms. Shannon is an absolutely wonderful, patient, and understating person, as are and her assistants Patrick and Brandon. I am saddened by the fact that my sessions are coming to an end next week.

Overall, I think this place is superb. I recommend BenchMark at Glenridge to everyone!"
16,"This place has the worst customer service I've ever experienced and would never go back.  I made an appointment to get a prescription filled. Specifically asked if someone would be there that could write it. I arrived and no one could.
They finally mailed me my prescription, but forgot to call my insurance company to get it approved.  I've called literally 5 times over 4 days during business hours, and have never been able to talk with anyone and keep leaving messages. I have still never received a return phone call."
17,"Absolutely horrid experience there. Went in a few days ago to get a normal annual check up... took over an hour and it still wasn't completed. I wasn't seen until after 40 minutes. Kept moving me from the back of the office back to the waiting room and then back to the back of the office to another room and then another damn room. Some staff apologized for the long wait, which was nice.Needed to get blood work done and then was told they couldn't do it because I needed to fast. Well that's all fine and dandy if I WAS TOLD THIS INFORMATION prior to me getting there for my appointment. Asked the nurse why this information wasn't shared to me and he shrugged his shoulders like a 12 year old. At this point I was over it. Rescheduled for another day but The staff seemed like they could care less that they are there and they don't care about your time. Quickly cancelled the appointment with a very unprofessional woman over the phone as well. Such a shame. Now back to search for another damn doctor."
18,"Not only did I have to contact the company to get a replacement code for the non-working Groupon code, but they then lost the shipment. 

I received a tracking number and well over the estimated delivery the product still had not arrived. Same shady issue as the other Yelper where the Customer Service number reroutes to another contact. The incredibly rude Customer Service Rep, who is also listed as CAO of the company (scary!), told me that I had to wait an additional week before they could even process the replacement. 

The order had been placed well in advance of the holidays (almost a month) to accommodate a possible shipping delay as was mentioned in a Yelp response by the company owner Kiril to another dissatisfied customer; regardless, this is unlikely as my girlfriend ordered a wallet days after me and had received hers to the same household within 1 week of ordering. The owner himself then reached out to acknowledge the issue and agreed to ship the product overnight. I received tracking information yesterday, now more than a week after being guaranteed overnight shipping, that states that the product shipped on January 2 and that it is on the truck for delivery today; the product was not delivered yet again. 

Over a month and I still haven't received my wallet, yet they received payment. Next step is to contact Groupon as well as my credit card company to dispute the charges as the product was never received; a Better Business Bureau complaint will only placate me for the time being as they are scarily unaffiliated. I caution all not to buy from this company. You would get even just peace of mind from donating your money rather than the frustration of dealing with Big Skinny. Avoid!"
19,"I was referred to Dr. Denes by my primary care provider. I saw him for the first time in October of 2017 to discuss surgical options for the extreme amount of damage done to my knee due to my aggressive inflammatory arthritis. Dr. Denes was uncaring and dismissive. He told me my pain wasn't that bad and a knee replacement wasn't an option due to my age. (I'm 29.)

A year and a half later, I was told to revisit surgical options by my rheumatologist so I went back to Dr. Denes. I was told much the same thing, except this time I had built up hope that there was a solution, so I started crying in the room. Sobbing, really. I was not offered a tissue, there was no acknowledgement of my distress, nothing. He told me to look into pain management and that a knee replacement would only last me 10 years at most so it wasn't a viable option. I left in extreme distress and tried to go about my life knowing that excruciating pain was just my life and I had to accept it. 

Two days after my appointment I received an phone call from someone in the office telling me that I should contact OHSU orthopedics. I now am scheduled for a full knee replacement in June with a doctor that says she's heard nothing but bad things about this clinic and that Dr. Denes was, and I quote, ""full of ****"" and my new knee will last me at least 20 years. I am finally getting my life back after seeing a doctor who cares. She also brought my case to the ""knee board"" and all of the relevant specialists at OHSU agreed that I was a candidate for the replacement.

Don't go here."
20,"First off I was born here (1983) so automatically this makes this hospital awesome! 

I have been here a couple of times..... luckily none of them have been for myself, always visiting. 2 illnesses  1 baby! 

The last time I was here visiting my grandfather. No worries... G-pa is kicking ass! I went in the main entrance to visit him, went up to the counter to find out where he was... The person could tell I was completely lost and had no idea how to get there. She left the counter (because there was another person working the counter as well ) and walked me all the way to his room. Talk about customer service. 

The only reason it gets 4 and not 5 stars is because the hospital seem pretty old. The Drs. are still pretty awesome!"
21,"I noticed their new patient deal for cleaning and x rays, so I made an appointment. Making an appointment was easy to do online and they confirmed via email and phone. Everyone was super nice and and helpful but it was the LONGEST cleaning appointment ever. I was in the office for over two hours, I think this was in large part due to the fact that I don't have dental insurance, so after the cleaning was over I had to wait for the financial guy to come in and try to sell me discount plans and credit cards. I did make an appointment to get my wisdom teeth out. When I went in for the procedure I signed in and paid and then I waited for over an hour (with no food in my stomach!) everything with my wisdom teeth went fine, but I was shocked two months later when I received a letter from a collection agency stating that I had not paid Boulder Modern dentistry. I never received a bill from BMD and as far as I knew, I paid in full before having my wisdom teeth out.  When I called BMD to check in on this collections letter I was told it was a mistake. No apology, no concern."
22,"Horrible service all three times I've gone. The lens crafters store in the mall is horrible unfriendly and highly unprofessional service. Think twice before letting yourself go to this lens crafters. The guys at Macy's on the other hand. PHENOMENAL. Don't go to the store unless you wanna be disrespected with poor customer service. I tried going and the lady got mad so I resorted to the one in Macy's where I was treated very kindly. The guys at Macy's are a 10/10. The lady's at the store were all very unfriendly. Had to get the lenses fixed and needed them fixed soon so had to go to the actual store so that I could get them fixed quicker. I called probably 4 times trying to see the hours of the optician and the entire time they told me not to worry. Called before I headed over there as well then when I got there he was on break for the next hour. Eventually got them dropped off. Wish they had same day fixed at the LensCrafters inside Macy's. Afterwards when I went to go pick up the glasses the lady at the store kept having to make snarky comments as she fixed my glasses to fit my face. Might I add the guys at Macy's were kind enough to wipe their finger prints off my glasses after they fit them on my face. The lady at the store was even frustrated to fix my glasses that were crooked and my glasses were covered in finger prints. Moral of the story, go to Macy's for great service with glasses or if you want poor service you can resort for the store. PS, Richard from Macy's even called me days later to see how I was adjusting to my glasses!!! GO TO MACYS LENSCRAFTERS."
23,"RON Miller is the BEST!!

On the 21st of September, 2016, I was diagnosed with severe inflammation of my left shoulder. It was extremely painful and hot to the touch. I was put on strong pain killers, anti-inflammatory meds & muscle relaxants. I was advised to rest my arms & shoulder, and avoid moving them for 2 weeks minimum.
 I was also advised to avoid sleeping on my left side. 

For a person that went to the gym 3-4 times a week, I felt so handicapped.  A month later, I was much better, but I was unable to move my arm or shoulder without triggering much pain. That is when my mom mentioned The Pursuit Center for me. She had gone for therapy there 2 years ago, herself, after breaking her little toe. She had so much pain walking after removing her cast, but, after her treatment at The Pursuit Center, with Ron Miller's, she was pain free within a month!

I couldn't wait to start treatment. I didn't want to remain in pain!

At the Center, Ron, checked my arm & my rotation abilities. He was able to discover where the source of my pain was; (TOS).
I was happy to know that it was treatable and I immediately started my treatment. I felt 20% better after my 1st treatment was over.
In less than 3 weeks later, I was almost pain free &  could move my arm and shoulder again! 
I was told I could resume my gym workouts (with certain precautions).
Ron Miller was able to bring my shoulder back to it's normal ability and diminish my shoulder pain in less time than anticipated. All his treatments were painless. In fact, I always left with less pain than when the treatment started.
 I am very happy I saw him when I did!
 I got my life back to normal in less than 4 weeks.
Ron is really knowledgeable in his field and, equally important to me, was his encouragement & optimism. 
I highly recommend his services to anyone who developes pain regardless of it's cause.
I am confident you will never regret it!"
24,"Had to go in for surgery on my arm after falling and breaking a couple bones. I had Dr. Hoffman for my surgery. She was super super nice and she was very helpful. Explained everything well, took time to make sure I understood everything and genuinely cared. This review IS NOT for her. 

This review is for the the ""nurses"" that manned the prep room for surgery. It was at the South Building of Tufts. The rudest nurse I've ever met was apparently the head nurse. Her name was Ellen (or was is Ellie or something like that). Curt, rude and gossiped the whole time I was there. The other nurses weren't bad per se, but they were all gossiping and I didn't see any smiles while there. They made the place gloomy and kinda hostile. 

Long story short, ""nurse"" Ellen is rude and made my experience at Tuft's TERRIBLE. I liked Dr. Hoffman and recommends her!"
25,"So I have to update my review. Over the last year, staff has overturned and while its good to have more providers, some of the staff are less than polite and patient. Furthermore, we're being charged a fee for any cancellation within 24hrs-- YET... EVEN WHEN YOU CONE TO YOUR APPT ON TIME, AT LEAST IN MY CASE- IVE ALWAYS HAD TO WAIT 45++ min TO BE SEEN!! THE CANCELLATION FEE ISNT APPLIED TO US FOR NOT RESPECTING OUR TIME! WE ARE TO RESPECT THEIR TIME- BUT THE OFFICE CAN DO AS THEY WISH WITH OURS?  I'm busy too! And my husbands line of work certainly can't accommodate these waits. I've already changed docs for him because he can't waste 90+ min of his day "" waiting"" to he seen........ I feel Dr Sneed is a great doctor but the daily mechanics off the office need a lot of work! Sorry ..... it's the truth. All our time is valuable!

My old 5star review:

Just moved to the area and my son got sick they were able to squeeze us in as a new patient the same day! Dr. Dale was very attentive, thorough and engaged with both my son and I... Happy to have found our new doctor! Coming from a military treatment facility where you feel as though seeing a doctor is like a cattle call .... This was a very refreshing experience thank you. I also like that he wasn't eager to prescribe antibiotics... But rather really tend to just the issue at hand ... I believe I'm holistic and natural medical remedies as much as possible .... So this works ...."
26,"So I have to update my review. Over the last year, staff has overturned and while its good to have more providers, some of the staff are less than polite and patient. Furthermore, we're being charged a fee for any cancellation within 24hrs-- YET... EVEN WHEN YOU CONE TO YOUR APPT ON TIME, AT LEAST IN MY CASE- IVE ALWAYS HAD TO WAIT 45++ min TO BE SEEN!! THE CANCELLATION FEE ISNT APPLIED TO US FOR NOT RESPECTING OUR TIME! WE ARE TO RESPECT THEIR TIME- BUT THE OFFICE CAN DO AS THEY WISH WITH OURS?  I'm busy too! And my husbands line of work certainly can't accommodate these waits. I've already changed docs for him because he can't waste 90+ min of his day "" waiting"" to he seen........ I feel Dr Sneed is a great doctor but the daily mechanics off the office need a lot of work! Sorry ..... it's the truth. All our time is valuable!!!!

My old 5star review:

Just moved to the area and my son got sick they were able to squeeze us in as a new patient the same day! Dr. Dale was very attentive, thorough and engaged with both my son and I... Happy to have found our new doctor! Coming from a military treatment facility where you feel as though seeing a doctor is like a cattle call .... This was a very refreshing experience thank you. I also like that he wasn't eager to prescribe antibiotics... But rather really tend to just the issue at hand ... I believe I'm holistic and natural medical remedies as much as possible .... So this works ...."
27,"Caution: May Case Miracles. I started seeing Dr. Denaro when her office first opened, for a few different ailments at different times. Each time, to my surprise and in less visits than anticipated, I experienced immediate results improving in my pain. Conditions cured by Dr. Denaro include knee problems preventing me from my normal running routine (turned out my hips and lower back were twisted and out of alignment), severe pinched nerves in my neck restricting my range of motion, tendinitis symptoms in my arm, severe migraines and even head colds (chiropractic can actually fix this!) Besides her expertise in the field, her gentle demeanor, warm and authentic personality, and genuine interest in my health and well being makes Dr. Denaro a doctor I will always come to and recommend to anyone. She's a miracle worker- see for yourself!"
28,"Prior to my experience with Dr. Suholet, I was with a wonderful Dr. for 12 years until his retirement. Dr. Suholet was recommended to me by that same Dr. In all of my years in dealing with the Medical field from receptionists to Surgeons I have never had an experience quite like this one. Upon my first visit Suholet spent fifteen minutes asking me questions from a standard list he read from. In that short frame of time He diagnosed me with a possibility of serious problems in the future. As he got up he stated that he was hesitant to take me on but he would and I would have to be monitored. I was in such shock, I didn't quite know what to say so I left wondering how he could have done that. As I said earlier I was with the same Dr. for 12 years and nothing of this nature came up. I'm very basic in my prescriptions, a mild one for depression and another for sleeping disorders. This visit was $170.00. A month goes by and I do not have my prescriptions filled, so I call and they tell me another appt. is necessary. I walk in and he starts on about a history book he read and before I could say anything he hands me my prescriptions. I did not notice what he had done until I got to the pharmacists. He had cut my regular prescription down to a third with no explanation. I called that day and he said it's all I needed and would decide later on if I required more. That visit was $75.00. That's when I decided to get a second opinion, when I called the office to see another Dr. in the same practice the receptionist tried without success to explain the policy. When I asked for clarification, she called me an a****** and hung up. I called back and spoke with the Office Manager and all she did was defend the lady who used such language and telling me she was having a bad day. I have since found another Dr. and after a visit of more than hour, he stated that he would fill my prescriptions as required and I went on my way. Dr. Suholet and his staff are unprofessional, rude, and lacking in knowledge and basic business principals. My suggestion is to avoid this Dr. at all costs and to find someone that at least can fake listening. Stay away, you will be glad you did."
29,"Found my dentist in Austin.  Everyone was super nice, Dr Sehmi & her assistant were great explaining my two implants done in another state.  Ashley helped me with what my insurance covered. Julie was awesome today in my cleaning. Thanks, see you soon!"
30,I couldn't wait to write this review! I'm trying to remember if I'm rating a dental office or a spa! What a fantastic experience from start to finish. The hygienist told me what was happening every step of the way and didn't once shame me on not flossing as much as I should!! I'm going back to get more work done and I'm actually looking forward to it!! Thank you Dr Katie and all the staff. See you soon!
31,"First of all I have to say I get MAJOR anxiety attacks going to the dentist. My significant partner told me I should try Gentle Dental. When I arrived I was so worked up. I needed to get an full check up. When I met Dr. Rayav, I thought he was nice. He could tell that I was anxious. He was so kind. He kept asking if I was ok, and if I felt any pain. I was so impressed by him. I have a phobia about going to the dentist which lead me to need some work done. I was really embarrassed. Dr. Rayev was so kind. He didn't judge me at all. He told me what needed to be done first so I wouldn't lose my tooth. I never thought I would be able to handle getting an implant, but I did Thanks to Dr. Rayev.  I really hope he reads this because he deserves to be recognized for the great dentist he is!!! Thank you DR. Rayev........see you soon!!!"
32,"I come here for several different things and have seen several Dr's and RN's for treatments of various sorts.  I absolutely love the location, the team, the facility and the customer service that they deliver.  It's top notch in every way.  I have referred dozens of people here for everything from mole/skin checks, tattoo removal, Botox/fillers,  plastic surgerie and acne.  100% satisfied every time.  Thank you and see you soon!"
33,"Lots of good dentists here!  
I hope to be enabled to get a temporary tooth for some missing tooth parts once the office is open and there is a dentist available.
I can continue with your help to take care of my healthful personality and upward looks.  It's so good for the overall health!
See you soon!"
34,"Taylor and Hillary make a dynamic duo team!!! I can't say enough wonderful things about this practice. Honestly, the sweetest admin staff ever, for a doctors office. They actually make eye contact with you and talk to you, and are friendly! And, then you get to the doctors! Awesome, all of you! Taylor rocks! She always talks me down off any type of crazy emotional train I've jumped on. This past year I needed some light cosmetic work done and I was introduced to the group on the cosmetic and aesthetic services side. Hello Hillary, and hello to my new BFF! They can do ANYTHING over there, I'm kinda hooked! Laser hair removal, ahhhhhhhmazing facials, little skin tightening here and there. I don't care what kind of issue you have, when you meet Hillary, you are meeting a friend. And she will listen to you with respect, and will treat you with such amazing care. You guys have an awesome thing going there! Glad I found you all! See you soon!!!"
35,"Dr Casmedes is the best doc I've ever met in my life. He's caring, understanding, and really explains the complicated stuff in a simple way. 
Thanks again and I'll see you soon!"
36,"I had an extraction/bone graft performed here. So far so good. Dr Brandon was very easy going but professional as you'd want someone to be who's working in your mouth. I heard him firmly tell at assistant that the tool they brought was substandard for some reason I couldn't understand, so I got the feeling he runs a tight ship, also something I appreciate in a dentist. The staff were pleasant enough and prices seemed fair (very similar to other places I'd gotten quotes from). I love the bucket of chocolates at the front desk, as if to say, ""See you soon!"""
